Data;Chuva (mm);Nivel (cm);Vazão (m³/s);;;;;0
08/01/2023 21:00;--;3159,625;--;;;;;
08/01/2023 22:00;--;3159,625;--;;;;;
08/01/2023 23:00;--;3159,625;--;;;;;
09/01/2023 00:00;--;3160,25;--;;;;;
09/01/2023 01:00;--;3160,25;--;;;;;
09/01/2023 02:00;--;3160,25;--;;;;;
09/01/2023 03:00;--;3159,625;--;;;;;
09/01/2023 04:00;--;3159,625;--;;;;;
09/01/2023 05:00;--;3159;--;;;;;
09/01/2023 06:00;--;3159;--;;;;;
09/01/2023 07:00;--;3159,625;--;;;;;
09/01/2023 08:00;--;3159,625;--;;;;;
09/01/2023 09:00;--;3159;--;;;;;
09/01/2023 10:00;--;3159;--;;;;;
09/01/2023 11:00;--;3158,375;--;;;;;
09/01/2023 12:00;--;3157,75;--;;;;;
09/01/2023 13:00;--;3158,375;--;;;;;
09/01/2023 14:00;--;3159;--;;;;;
09/01/2023 15:00;--;3158,375;--;;;;;
09/01/2023 16:00;--;3158,375;--;;;;;
09/01/2023 17:00;--;3159;--;;;;;
09/01/2023 18:00;--;3159,625;--;;;;;
09/01/2023 19:00;--;3159,625;--;;;;;
09/01/2023 20:00;--;3160,25;--;;;;;
09/01/2023 21:00;--;3160,25;--;;;;;
09/01/2023 22:00;--;3160,25;--;;;;;
09/01/2023 23:00;--;3160,25;--;;;;;
10/01/2023 00:00;--;3160,25;--;;;;;
10/01/2023 01:00;--;3160,25;--;;;;;
10/01/2023 02:00;--;3160,25;--;;;;;
10/01/2023 03:00;--;3160,875;--;;;;;
10/01/2023 04:00;--;3160,875;--;;;;;
10/01/2023 05:00;--;3160,25;--;;;;;
10/01/2023 06:00;--;3160,875;--;;;;;
10/01/2023 07:00;--;3160,25;--;;;;;
10/01/2023 08:00;--;3160,875;--;;;;;
10/01/2023 09:00;--;3160,875;--;;;;;
10/01/2023 10:00;--;3160,25;--;;;;;
10/01/2023 11:00;--;3160,25;--;;;;;
10/01/2023 12:00;--;3159,625;--;;;;;
10/01/2023 13:00;--;3160,25;--;;;;;
10/01/2023 14:00;--;3160,25;--;;;;;
10/01/2023 15:00;--;3160,875;--;;;;;
10/01/2023 16:00;--;3162,125;--;;;;;
10/01/2023 17:00;--;3161,5;--;;;;;
10/01/2023 18:00;--;3161,5;--;;;;;
10/01/2023 19:00;--;3161,5;--;;;;;
10/01/2023 20:00;--;3160,875;--;;;;;
10/01/2023 21:00;--;3160,875;--;;;;;
10/01/2023 22:00;--;3160,875;--;;;;;
10/01/2023 23:00;--;3161,5;--;;;;;
11/01/2023 00:00;--;3161,5;--;;;;;
11/01/2023 01:00;--;3161,5;--;;;;;
11/01/2023 02:00;--;3161,5;--;;;;;
11/01/2023 03:00;--;3162,125;--;;;;;
11/01/2023 04:00;--;3161,5;--;;;;;
11/01/2023 05:00;--;3162,125;--;;;;;
11/01/2023 06:00;--;3161,5;--;;;;;
11/01/2023 07:00;--;3162,125;--;;;;;
11/01/2023 08:00;--;3162,125;--;;;;;
11/01/2023 09:00;--;3162,125;--;;;;;
11/01/2023 10:00;--;3162,125;--;;;;;
11/01/2023 11:00;--;3162,125;--;;;;;
11/01/2023 12:00;--;3161,5;--;;;;;
11/01/2023 13:00;--;3160,875;--;;;;;
11/01/2023 14:00;--;3160,875;--;;;;;
11/01/2023 15:00;--;3160,875;--;;;;;
11/01/2023 16:00;--;3161,5;--;;;;;
11/01/2023 17:00;--;3162,75;--;;;;;
11/01/2023 18:00;--;3163,375;--;;;;;
11/01/2023 19:00;--;3162,75;--;;;;;
11/01/2023 20:00;--;3163,375;--;;;;;
11/01/2023 21:00;--;3163,375;--;;;;;
11/01/2023 22:00;--;3163,375;--;;;;;
11/01/2023 23:00;--;3163,375;--;;;;;
12/01/2023 00:00;--;3163,375;--;;;;;
12/01/2023 01:00;--;3164;--;;;;;
12/01/2023 02:00;--;3163,375;--;;;;;
12/01/2023 03:00;--;3163,375;--;;;;;
12/01/2023 04:00;--;3163,375;--;;;;;
12/01/2023 05:00;--;3163,375;--;;;;;
12/01/2023 06:00;--;3163,375;--;;;;;
12/01/2023 07:00;--;3163,375;--;;;;;
12/01/2023 08:00;--;3162,75;--;;;;;
12/01/2023 09:00;--;3162,75;--;;;;;
12/01/2023 10:00;--;3162,125;--;;;;;
12/01/2023 11:00;--;3162,125;--;;;;;
12/01/2023 12:00;--;3161,5;--;;;;;
12/01/2023 13:00;--;3161,5;--;;;;;
12/01/2023 14:00;--;3162,125;--;;;;;
12/01/2023 15:00;--;3162,125;--;;;;;
12/01/2023 16:00;--;3162,75;--;;;;;
12/01/2023 17:00;--;3163,375;--;;;;;
12/01/2023 18:00;--;3163,375;--;;;;;
12/01/2023 19:00;--;3164;--;;;;;
