Data-Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm);vazao(m3_s)
10/05/2023 20:00:00;9510.00;;0.00;;;;;;;
10/05/2023 21:00:00;9510.00;;0.00;;;;;;;
10/05/2023 22:00:00;9509.00;;0.00;;;;;;;
10/05/2023 23:00:00;9510.00;;0.00;;;;;;;
11/05/2023 00:00:00;9510.00;;0.00;;;;;;;
11/05/2023 01:00:00;9511.00;;0.00;;;;;;;
11/05/2023 02:00:00;9510.00;;0.00;;;;;;;
11/05/2023 03:00:00;9511.00;;0.00;;;;;;;
11/05/2023 04:00:00;9512.00;;0.00;;;;;;;
11/05/2023 05:00:00;9511.00;;0.00;;;;;;;
11/05/2023 06:00:00;9510.00;;0.00;;;;;;;
11/05/2023 07:00:00;9508.00;;0.00;;;;;;;
11/05/2023 08:00:00;9506.00;;0.00;;;;;;;
11/05/2023 09:00:00;9505.00;;0.00;;;;;;;
11/05/2023 10:00:00;9503.00;;0.00;;;;;;;
11/05/2023 11:00:00;9501.00;;0.00;;;;;;;
11/05/2023 12:00:00;9498.00;;0.00;;;;;;;
11/05/2023 13:00:00;9496.00;;0.00;;;;;;;
11/05/2023 14:00:00;9492.00;;0.00;;;;;;;
11/05/2023 15:00:00;9488.00;;0.00;;;;;;;
11/05/2023 16:00:00;9482.00;;0.00;;;;;;;
11/05/2023 17:00:00;9476.00;;0.00;;;;;;;
11/05/2023 18:00:00;9465.00;;0.00;;;;;;;
11/05/2023 19:00:00;9456.00;;0.00;;;;;;;
11/05/2023 20:00:00;9453.00;;0.00;;;;;;;
11/05/2023 21:00:00;9449.00;;0.00;;;;;;;
11/05/2023 22:00:00;9447.00;;0.00;;;;;;;
11/05/2023 23:00:00;9445.00;;0.00;;;;;;;
12/05/2023 00:00:00;9441.00;;0.00;;;;;;;
12/05/2023 01:00:00;9436.00;;0.00;;;;;;;
12/05/2023 02:00:00;9433.00;;0.00;;;;;;;
12/05/2023 03:00:00;9430.00;;0.00;;;;;;;
12/05/2023 04:00:00;9432.00;;0.00;;;;;;;
12/05/2023 05:00:00;9430.00;;0.00;;;;;;;
12/05/2023 06:00:00;9417.00;;0.00;;;;;;;
12/05/2023 07:00:00;9412.00;;0.00;;;;;;;
12/05/2023 08:00:00;9405.00;;0.00;;;;;;;
12/05/2023 09:00:00;9399.00;;0.00;;;;;;;
12/05/2023 10:00:00;9392.00;;0.00;;;;;;;
12/05/2023 11:00:00;9391.00;;0.00;;;;;;;
12/05/2023 12:00:00;9389.00;;0.00;;;;;;;
12/05/2023 13:00:00;9390.00;;0.00;;;;;;;
12/05/2023 14:00:00;9383.00;;0.00;;;;;;;
12/05/2023 15:00:00;9379.00;;0.00;;;;;;;
12/05/2023 16:00:00;9377.00;;0.00;;;;;;;
12/05/2023 17:00:00;9372.00;;0.00;;;;;;;
12/05/2023 18:00:00;9365.00;;0.00;;;;;;;
12/05/2023 19:00:00;9352.00;;0.00;;;;;;;
12/05/2023 20:00:00;9355.00;;0.00;;;;;;;
